frame number,time (s),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
27,0.9,0,0,488,146,522,140,548,196,506,210,454,150,444,222,422,244,498,264,524,260,484,344,464,388,474,268,462,354,470,436,0,0,444,106,494,106,458,108,432,438,440,444,476,450,454,410,456,410,0,0
28,0.933333,0,0,494,140,526,140,552,202,506,206,456,144,438,212,428,234,494,254,516,254,484,338,464,402,470,256,462,338,466,436,0,0,0,0,504,102,464,106,432,440,438,444,474,446,446,410,448,410,462,402
29,0.966667,0,0,494,140,526,140,552,202,506,206,456,144,438,212,428,234,494,254,516,254,484,338,464,402,470,256,462,336,466,434,0,0,0,0,504,102,464,106,432,440,438,444,474,446,446,410,448,410,462,402
30,1.0,0,0,494,140,526,140,552,202,506,206,456,144,438,212,428,234,494,254,516,254,484,338,464,402,470,256,462,338,466,434,0,0,0,0,504,102,464,106,432,440,438,444,474,446,446,410,448,410,462,402
31,1.03333,0,0,494,140,534,140,558,202,518,202,454,140,432,200,432,234,492,248,516,248,488,328,474,376,464,248,446,328,452,412,0,0,0,0,508,98,474,102,432,422,438,424,460,420,474,374,0,0,474,382
32,1.06667,0,0,494,140,534,140,560,202,518,202,454,140,432,200,432,234,492,248,516,248,486,328,474,374,464,248,446,328,452,412,0,0,0,0,508,98,474,102,432,422,438,426,460,420,0,0,0,0,474,382
33,1.1,0,0,494,140,534,140,560,202,518,202,454,140,432,200,432,234,492,248,516,248,486,330,474,374,464,248,446,328,452,412,0,0,0,0,508,98,474,102,432,422,438,426,460,420,0,0,0,0,474,380
34,1.13333,0,0,494,140,534,140,560,202,518,202,454,140,432,198,432,234,492,248,516,248,488,328,474,372,464,248,446,328,452,412,0,0,0,0,508,98,474,102,432,422,438,426,460,420,474,374,0,0,474,380
35,1.16667,0,0,496,136,538,140,566,204,536,194,458,132,432,196,452,214,486,244,516,248,486,330,458,402,458,240,440,318,436,390,0,0,0,0,520,100,482,98,422,388,422,392,436,398,448,400,458,402,454,410
36,1.2,0,0,496,136,538,140,566,204,536,194,458,132,432,196,450,214,486,244,516,248,486,332,458,402,460,240,440,318,436,390,0,0,0,0,520,100,482,98,422,388,422,392,436,400,448,400,458,402,454,410
37,1.23333,0,0,496,136,538,140,566,204,536,196,458,132,432,196,450,214,486,244,516,248,486,332,458,402,460,242,440,318,434,390,0,0,0,0,520,100,482,98,422,388,422,392,436,400,448,400,458,402,454,410
38,1.26667,0,0,498,132,540,140,566,202,534,194,460,130,432,192,0,0,484,244,516,248,490,332,458,400,454,238,442,310,432,372,0,0,0,0,526,100,488,94,438,390,426,382,432,380,454,410,458,410,454,406
39,1.3,0,0,498,132,540,140,566,204,534,192,460,130,432,192,0,0,484,244,516,248,490,332,458,400,454,240,442,310,432,372,0,0,0,0,526,100,488,94,438,390,426,382,432,380,454,410,458,410,454,406
40,1.33333,0,0,498,132,540,140,566,204,534,192,460,130,432,192,0,0,484,244,516,248,492,332,458,400,454,238,442,310,432,374,0,0,0,0,526,100,488,94,440,392,428,384,430,380,454,410,458,410,454,406
41,1.36667,0,0,498,132,540,140,566,204,532,192,460,130,432,192,0,0,484,244,516,248,490,332,458,400,454,238,444,310,432,374,0,0,0,0,526,100,490,94,440,392,428,384,432,380,454,410,458,412,454,406
42,1.4,0,0,498,132,540,140,566,204,534,192,462,130,432,192,0,0,484,244,516,248,492,332,458,400,454,238,442,310,432,374,0,0,0,0,526,100,490,94,440,392,430,386,432,380,454,410,458,412,454,406
43,1.43333,0,0,504,130,542,134,564,202,560,170,466,124,434,180,0,0,480,238,504,244,492,324,462,394,452,234,452,308,452,380,0,0,0,0,536,98,500,90,454,410,452,406,444,384,458,418,456,414,454,400
44,1.46667,0,0,504,130,542,134,564,202,558,170,466,124,434,180,0,0,480,238,504,244,494,320,462,394,452,234,452,308,452,380,0,0,0,0,536,98,500,90,454,408,452,406,444,384,458,418,456,414,454,400
45,1.5,0,0,504,130,542,134,564,202,558,170,464,124,434,180,0,0,480,238,504,244,492,324,462,394,452,234,452,308,452,380,0,0,0,0,536,98,500,90,454,408,452,406,444,384,458,418,456,414,454,400
46,1.53333,0,0,504,130,542,134,564,202,558,170,466,124,434,180,0,0,480,238,504,244,490,326,462,396,452,234,452,310,452,380,0,0,0,0,536,98,500,90,454,408,452,406,444,384,458,418,456,414,454,400
47,1.56667,550,98,506,128,538,132,560,200,568,176,474,122,452,178,0,0,482,238,504,244,494,316,464,390,460,234,456,300,452,372,550,92,0,0,538,98,512,88,452,400,452,400,446,380,462,420,462,414,454,394
48,1.6,550,100,506,128,538,132,560,200,568,176,474,122,452,178,0,0,482,238,504,244,492,316,464,390,460,234,456,304,452,374,550,90,0,0,538,98,512,88,452,402,452,402,444,380,462,420,462,414,454,394
49,1.63333,550,100,506,128,538,132,560,200,568,176,474,122,452,178,0,0,484,238,504,244,492,318,462,390,460,234,456,302,452,374,548,92,0,0,538,98,512,88,452,400,450,400,444,380,462,418,458,414,452,394
50,1.66667,560,100,516,126,544,128,566,192,578,174,490,120,0,0,0,0,488,232,510,236,504,310,474,374,470,226,466,298,454,366,560,92,0,0,548,94,524,88,462,378,452,372,452,372,484,384,484,386,468,380
51,1.7,560,100,516,126,544,128,566,192,578,174,490,120,0,0,0,0,488,232,510,236,504,310,474,374,470,226,466,298,454,366,560,92,0,0,548,94,0,0,462,378,452,372,452,372,484,384,484,386,468,380
52,1.73333,560,100,516,126,544,128,566,192,578,176,490,120,0,0,0,0,488,232,510,236,504,310,474,376,470,226,466,300,454,368,560,92,0,0,548,94,524,88,462,380,452,374,452,372,484,384,484,388,468,380
53,1.76667,560,100,516,126,544,128,566,192,578,176,490,120,0,0,0,0,488,232,510,236,504,310,474,376,470,226,466,298,454,368,560,92,0,0,548,94,522,88,462,378,450,372,452,372,484,384,484,388,468,380
54,1.8,560,100,516,126,544,128,566,192,578,176,490,120,0,0,0,0,488,232,510,236,504,310,474,376,470,226,466,300,454,368,560,92,0,0,548,94,0,0,462,378,452,372,452,372,484,384,484,388,468,380
55,1.83333,560,100,516,126,544,128,566,192,578,174,490,120,0,0,0,0,488,232,510,236,504,310,474,376,470,226,466,298,454,368,560,92,0,0,548,94,0,0,462,378,452,372,452,372,484,384,484,386,468,380
56,1.86667,588,110,540,126,562,130,582,192,602,174,518,120,0,0,0,0,506,234,526,238,526,308,512,380,486,226,480,298,456,362,588,100,0,0,576,98,0,0,482,364,474,362,452,370,0,0,0,0,0,0
57,1.9,588,110,540,126,562,130,582,192,602,174,518,120,0,0,0,0,506,234,526,238,526,308,512,380,486,226,480,298,456,362,588,100,0,0,576,98,0,0,482,364,474,362,450,370,0,0,0,0,0,0
58,1.93333,588,110,540,126,562,130,582,192,602,174,518,120,0,0,0,0,506,234,526,238,526,308,512,380,486,226,480,298,456,362,588,100,0,0,576,98,0,0,482,364,474,362,450,370,0,0,0,0,0,0
59,1.96667,588,108,540,126,560,130,582,192,602,172,518,120,0,0,0,0,506,234,526,238,526,308,492,350,486,226,478,298,454,362,588,100,0,0,576,98,0,0,482,364,474,362,450,370,504,368,506,370,486,360
60,2.0,588,108,540,126,562,130,582,192,602,174,518,120,0,0,0,0,506,234,526,238,526,308,516,376,486,226,478,298,456,362,588,100,0,0,576,98,0,0,480,364,474,362,450,370,0,0,0,0,504,382
61,2.03333,612,116,566,128,582,132,606,198,632,180,546,120,0,0,0,0,524,230,540,234,548,308,546,372,504,222,490,294,458,360,612,108,0,0,598,100,0,0,482,364,478,362,452,368,0,0,0,0,546,374
62,2.06667,612,116,566,128,582,132,606,198,632,180,546,120,0,0,0,0,524,230,540,234,548,308,546,374,504,222,490,294,458,360,612,108,0,0,600,100,0,0,482,364,478,362,452,368,0,0,0,0,546,376
63,2.1,612,116,566,128,584,134,606,198,632,180,546,120,0,0,0,0,524,230,540,236,546,308,546,372,504,222,490,294,458,360,612,108,0,0,598,100,0,0,482,364,478,362,452,368,0,0,0,0,546,374
64,2.13333,612,116,566,128,584,134,606,198,632,180,546,120,0,0,0,0,524,230,540,236,548,308,546,372,504,222,490,294,458,360,612,108,0,0,598,100,0,0,482,364,478,362,452,368,0,0,0,0,546,374
65,2.16667,0,0,598,122,620,130,632,196,0,0,576,116,0,0,0,0,556,222,572,226,568,306,556,370,540,216,556,292,548,358,0,0,0,0,642,104,0,0,0,0,0,0,0,0,0,0,0,0,552,374
66,2.2,0,0,598,122,620,130,632,196,0,0,576,116,0,0,0,0,556,222,570,226,568,306,554,370,540,216,556,292,548,358,0,0,0,0,642,104,0,0,0,0,0,0,0,0,0,0,0,0,552,374
67,2.23333,0,0,598,122,620,130,632,196,0,0,576,116,0,0,0,0,556,222,570,226,568,306,556,370,540,214,556,292,548,358,0,0,0,0,642,104,0,0,0,0,0,0,0,0,0,0,0,0,552,374
68,2.26667,0,0,598,122,620,130,632,196,0,0,576,116,0,0,0,0,556,222,570,226,568,306,556,370,540,214,556,292,548,358,0,0,0,0,642,104,0,0,0,0,0,0,0,0,0,0,0,0,552,374
69,2.3,0,0,598,122,620,130,632,196,0,0,576,116,0,0,0,0,556,222,570,226,568,306,556,370,540,214,556,292,548,358,0,0,0,0,642,104,0,0,0,0,0,0,0,0,0,0,0,0,552,372
70,2.33333,0,0,620,120,642,130,642,196,0,0,594,112,0,0,0,0,568,218,588,224,578,306,568,370,548,212,568,298,558,362,0,0,0,0,644,98,0,0,0,0,0,0,550,364,578,386,568,386,564,376
71,2.36667,0,0,620,120,642,130,642,194,0,0,594,112,0,0,0,0,568,218,588,224,578,306,568,370,548,212,568,298,558,362,0,0,0,0,644,98,0,0,0,0,0,0,0,0,578,386,568,384,564,376
72,2.4,0,0,620,120,642,130,642,194,0,0,594,112,0,0,0,0,568,218,588,224,578,304,568,370,548,212,568,298,558,362,0,0,0,0,644,98,0,0,0,0,0,0,0,0,578,386,568,384,564,376
73,2.43333,0,0,620,120,642,130,642,192,0,0,592,114,0,0,0,0,568,218,588,224,578,304,568,370,548,212,568,298,558,362,0,0,0,0,642,98,0,0,0,0,0,0,0,0,578,386,568,384,564,376
74,2.46667,0,0,632,120,644,128,0,0,0,0,608,112,0,0,0,0,584,218,602,224,590,298,568,368,564,210,578,294,570,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,376,564,380,564,374
75,2.5,0,0,632,120,644,128,0,0,0,0,608,112,0,0,0,0,584,218,602,224,590,298,568,368,564,210,578,294,570,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,376,566,380,564,374
76,2.53333,0,0,632,120,644,128,0,0,0,0,608,112,0,0,0,0,584,218,602,224,588,300,568,368,564,210,578,296,572,368,0,0,0,0,0,0,0,0,0,0,0,0,568,372,570,378,564,380,564,376
77,2.56667,0,0,632,120,644,128,0,0,0,0,606,112,0,0,0,0,584,216,602,224,588,300,568,368,564,210,578,294,572,368,0,0,0,0,0,0,0,0,0,0,0,0,568,372,568,376,564,380,564,374
78,2.6,0,0,632,120,642,120,0,0,0,0,616,120,0,0,0,0,606,212,620,214,610,298,576,366,588,206,596,288,576,354,0,0,0,0,0,0,0,0,0,0,0,0,564,358,0,0,0,0,568,372
79,2.63333,0,0,632,120,642,120,0,0,0,0,616,120,0,0,0,0,606,210,622,214,610,298,576,366,588,206,596,288,576,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,372
80,2.66667,0,0,632,120,642,120,0,0,0,0,616,120,0,0,0,0,606,212,620,214,608,298,576,368,588,206,594,288,576,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,374
81,2.7,0,0,632,120,642,120,0,0,0,0,616,120,0,0,0,0,606,212,620,214,608,298,576,368,588,206,594,288,576,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,372
82,2.73333,0,0,632,120,642,120,0,0,0,0,616,120,0,0,0,0,606,210,622,214,608,298,576,366,588,206,594,288,576,352,0,0,0,0,0,0,0,0,0,0,0,0,564,356,0,0,0,0,568,372
