frame number,time (s),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
0,0.0,0,0,496,300,512,288,522,346,0,0,484,312,504,370,498,414,554,400,568,390,454,348,482,410,540,410,442,362,466,442,0,0,446,286,484,266,454,286,432,438,440,444,476,452,466,410,0,0,0,0
1,0.0333333,0,0,486,290,504,278,512,336,0,0,470,300,498,362,508,422,546,390,564,380,454,348,488,414,532,398,432,360,472,442,0,0,432,274,474,254,442,274,434,438,440,444,482,448,0,0,0,0,0,0
2,0.0666666,0,0,486,290,504,278,512,336,0,0,470,300,498,362,506,422,546,390,564,380,454,348,488,414,532,398,432,360,472,442,0,0,432,274,474,254,442,274,434,438,440,444,480,446,0,0,0,0,0,0
3,0.0999999,0,0,486,290,504,278,512,336,0,0,470,300,496,362,506,422,546,390,564,380,454,348,492,414,532,400,432,360,472,442,0,0,432,274,474,254,442,274,434,436,440,444,480,446,0,0,0,0,0,0
4,0.133333,424,254,474,264,494,250,0,0,0,0,460,276,486,348,504,410,540,368,556,354,444,342,482,410,526,378,430,360,472,440,0,0,424,246,462,226,438,244,434,436,442,444,482,448,470,412,472,412,486,412
5,0.166667,424,256,476,264,494,252,0,0,0,0,460,276,486,348,502,410,540,368,556,356,444,342,482,410,526,378,430,360,472,440,0,0,424,248,462,226,440,244,434,436,442,444,482,446,470,412,472,412,488,412
6,0.2,424,254,476,264,494,252,0,0,0,0,460,276,486,348,504,410,540,368,556,354,444,344,482,410,526,378,430,360,472,440,0,0,424,248,462,226,440,244,434,436,442,444,482,448,470,412,472,412,0,0
7,0.233333,424,254,476,264,494,252,0,0,0,0,460,276,486,348,504,412,540,368,556,354,444,344,482,410,526,378,430,360,474,440,0,0,424,246,462,228,440,244,434,436,442,444,484,448,470,412,472,412,0,0
8,0.266667,422,224,474,240,496,228,0,0,0,0,454,250,474,334,472,396,534,350,552,338,440,338,0,0,516,362,430,360,474,436,0,0,422,218,458,202,432,216,432,436,440,442,484,444,0,0,0,0,0,0
9,0.3,422,224,474,238,496,228,0,0,0,0,454,250,474,334,474,396,534,350,552,338,440,338,0,0,516,362,430,360,474,436,0,0,422,218,456,202,432,216,432,436,440,442,484,444,0,0,0,0,0,0
10,0.333333,422,224,474,238,496,228,0,0,0,0,454,250,474,334,472,396,534,350,552,338,440,338,0,0,516,362,430,360,474,438,0,0,422,218,456,202,432,216,432,436,440,442,486,444,0,0,0,0,0,0
11,0.366667,422,224,474,240,496,228,0,0,0,0,454,250,474,334,472,396,534,350,552,338,440,338,0,0,516,362,430,360,474,438,0,0,422,218,456,204,432,216,432,436,438,442,486,444,0,0,0,0,0,0
12,0.4,0,0,474,214,494,204,0,0,0,0,452,228,464,312,454,362,530,328,548,316,440,336,480,388,516,338,432,360,472,436,0,0,0,0,456,180,432,194,432,436,440,442,484,444,0,0,0,0,0,0
13,0.433333,0,0,474,214,494,204,0,0,0,0,452,228,464,312,454,362,530,328,548,316,440,336,478,388,516,338,432,360,472,436,0,0,0,0,456,180,432,194,432,438,440,442,484,444,0,0,0,0,0,0
14,0.466667,0,0,474,214,494,204,0,0,0,0,452,228,464,312,454,362,530,328,548,316,440,336,480,388,516,338,432,360,472,436,0,0,0,0,458,180,432,194,432,438,440,442,484,444,0,0,0,0,0,0
15,0.5,0,0,474,214,494,204,0,0,0,0,452,228,464,312,454,362,530,328,548,316,440,336,478,388,516,338,432,360,472,436,0,0,0,0,458,180,432,194,432,436,440,442,484,444,0,0,0,0,0,0
16,0.533333,0,0,480,184,504,180,538,222,0,0,454,192,462,274,434,318,518,304,538,294,462,358,494,418,502,312,434,360,470,436,0,0,0,0,466,150,440,160,432,436,440,444,480,444,474,410,474,410,504,424
17,0.566667,0,0,480,184,504,180,538,222,0,0,454,192,462,274,434,318,518,304,538,294,462,356,494,418,504,314,432,360,470,436,0,0,0,0,466,150,440,160,432,436,440,442,480,444,474,410,474,410,504,424
18,0.6,0,0,480,184,504,180,538,222,0,0,454,192,462,274,434,318,518,302,538,292,462,358,494,418,502,312,434,360,470,436,0,0,0,0,466,150,440,160,432,436,440,444,482,444,474,410,474,410,504,424
19,0.633333,0,0,486,160,516,154,546,204,514,226,456,164,454,242,424,276,506,276,526,272,486,360,504,432,484,282,450,366,472,440,0,0,0,0,482,120,452,128,432,438,440,444,480,450,0,0,0,0,506,442
20,0.666667,0,0,486,160,516,154,546,204,514,226,456,164,454,242,424,276,506,276,526,272,484,360,496,430,484,282,450,366,472,440,0,0,0,0,482,120,452,128,432,438,440,444,480,452,0,0,0,0,504,444
21,0.7,0,0,486,160,516,154,546,204,514,226,456,164,454,242,424,276,506,276,526,274,482,360,490,428,484,282,450,366,472,440,0,0,0,0,482,120,452,128,432,440,440,444,480,452,0,0,0,0,504,444
22,0.733333,0,0,486,160,516,154,546,204,514,226,456,164,454,242,424,276,506,276,526,272,482,360,486,426,484,282,450,366,472,440,0,0,0,0,482,120,452,128,432,440,440,444,480,452,0,0,0,0,504,444
23,0.766667,0,0,488,146,522,140,548,196,506,210,454,150,444,222,422,244,498,264,524,260,482,344,464,388,474,266,462,354,470,436,0,0,0,0,494,106,458,108,432,438,440,444,476,450,454,410,454,410,0,0
24,0.8,0,0,488,146,522,140,548,196,506,210,454,150,444,222,422,244,498,264,524,260,482,344,464,388,474,266,462,354,470,438,0,0,0,0,494,106,458,108,432,438,440,444,476,450,454,410,454,410,0,0
25,0.833333,0,0,488,146,522,140,548,196,508,210,454,150,444,222,422,244,498,264,524,260,482,344,464,388,474,266,462,354,470,436,0,0,0,0,494,106,458,108,432,438,440,444,476,450,454,410,454,410,0,0
26,0.866667,0,0,488,146,522,140,548,196,506,210,454,150,444,222,422,244,498,264,524,260,482,344,464,388,474,266,462,354,470,436,0,0,444,106,494,106,458,108,432,438,440,444,476,450,454,410,454,410,0,0
